category	evidence	address	type	mangled	demangled
app-controller	D1	000000010000b5c4	T	$s11ComputerUse0aB13AppControllerC14CursorPositionV1x1yAESi_SitcfC	ComputerUse.ComputerUseAppController.CursorPosition.init(x: Swift.Int, y: Swift.Int) -> ComputerUse.ComputerUseAppController.CursorPosition
app-controller	D2	000000010004f3a4	T	$s11ComputerUse0aB13AppControllerC33cursorPositionInScaledCoordinatesAC06CursorF0Vvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.cursorPositionInScaledCoordinates : ComputerUse.ComputerUseAppController.CursorPosition
app-controller	D2	000000010004f420	T	$s11ComputerUse0aB13AppControllerC17skyshotImageFiles33_227D423D33BF05902090F41EA12C551CLLShy8SlimCore4FileOGvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(skyshotImageFiles in _227D423D33BF05902090F41EA12C551C) : Swift.Set<SlimCore.File>
app-controller	D2	000000010004f42c	T	$s11ComputerUse0aB13AppControllerC9_isActive33_227D423D33BF05902090F41EA12C551CLL2os21OSAllocatedUnfairLockVySbGvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(_isActive in _227D423D33BF05902090F41EA12C551C) : os.OSAllocatedUnfairLock<Swift.Bool>
app-controller	D2	000000010004f464	T	$s11ComputerUse0aB13AppControllerC11_lastWindow33_227D423D33BF05902090F41EA12C551CLL2os21OSAllocatedUnfairLockVys6UInt32V_20AccessibilitySupport0F9UIElementVtSgGvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(_lastWindow in _227D423D33BF05902090F41EA12C551C) : os.OSAllocatedUnfairLock<(Swift.UInt32, AccessibilitySupport.WindowUIElement)?>
app-controller	D2	000000010004f4a0	T	$s11ComputerUse0aB13AppControllerC20_currentlyOpenedMenu33_227D423D33BF05902090F41EA12C551CLL2os21OSAllocatedUnfairLockVy20AccessibilitySupport0G9UIElementVSgGvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(_currentlyOpenedMenu in _227D423D33BF05902090F41EA12C551C) : os.OSAllocatedUnfairLock<AccessibilitySupport.MenuUIElement?>
app-controller	D2	000000010004f4dc	T	$s11ComputerUse0aB13AppControllerC28_currentlyFocusedMenuBarItem33_227D423D33BF05902090F41EA12C551CLL2os21OSAllocatedUnfairLockVy20AccessibilitySupport0ghI9UIElementVSgGvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(_currentlyFocusedMenuBarItem in _227D423D33BF05902090F41EA12C551C) : os.OSAllocatedUnfairLock<AccessibilitySupport.MenuBarItemUIElement?>
app-controller	D2	000000010004f518	T	$s11ComputerUse0aB13AppControllerC13virtualCursor33_227D423D33BF05902090F41EA12C551CLLAA0abF0CSgvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.(virtualCursor in _227D423D33BF05902090F41EA12C551C) : ComputerUse.ComputerUseCursor?
app-controller	D2	000000010004f520	T	$s11ComputerUse0aB13AppControllerC16orderingObserver20AccessibilitySupport014WindowOrderingF0Cvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.orderingObserver : AccessibilitySupport.WindowOrderingObserver
app-controller	D2	000000010004f55c	T	$s11ComputerUse0aB13AppControllerC11visibleRectSo6CGRectVvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.visibleRect : __C.CGRect
app-controller	D2	000000010004f570	T	$s11ComputerUse0aB13AppControllerC13scalingFactor12CoreGraphics7CGFloatVvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.scalingFactor : CoreGraphics.CGFloat
app-controller	D2	000000010004f578	T	$s11ComputerUse0aB13AppControllerC16scaledScreenSizeSo6CGSizeVvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.scaledScreenSize : __C.CGSize
app-controller	D2	000000010004f584	T	$s11ComputerUse0aB13AppControllerC10signposter2os12OSSignposterVvpfi	variable initialization expression of ComputerUse.ComputerUseAppController.signposter : os.OSSignposter
app-controller	D1	000000010006bc10	T	$s11ComputerUse0aB13AppControllerC3for3appACSgSo20NSRunningApplicationC_tFZ	static ComputerUse.ComputerUseAppController.for(app: __C.NSRunningApplication) -> ComputerUse.ComputerUseAppController?
app-controller	D1	000000010006bc2c	T	$s11ComputerUse0aB13AppControllerC3for3pidACSgs5Int32V_tFZ	static ComputerUse.ComputerUseAppController.for(pid: Swift.Int32) -> ComputerUse.ComputerUseAppController?
app-controller	D1	000000010006c470	T	$s11ComputerUse0aB13AppControllerC17applicationTarget6chatID22isAXTreeDiffingEnabledAC14SystemSoftware011ApplicationF0V_SSSgSbtKcfC	ComputerUse.ComputerUseAppController.__allocating_init(applicationTarget: SystemSoftware.ApplicationTarget, chatID: Swift.String?, isAXTreeDiffingEnabled: Swift.Bool) throws -> ComputerUse.ComputerUseAppController
app-controller	D1	000000010006e970	T	$s11ComputerUse0aB13AppControllerC27createVirtualCursorIfNeededAA0abG0CyF	ComputerUse.ComputerUseAppController.createVirtualCursorIfNeeded() -> ComputerUse.ComputerUseCursor
app-controller	D1	0000000100071c34	T	$s11ComputerUse0aB13AppControllerC8activateyyF	ComputerUse.ComputerUseAppController.activate() -> ()
app-controller	D1	0000000100072004	T	$s11ComputerUse0aB13AppControllerC10deactivateyyF	ComputerUse.ComputerUseAppController.deactivate() -> ()
app-controller	D1	000000010007619c	T	$s11ComputerUse0aB13AppControllerC22performSecondaryAction9elementID6action13returnSkyshotAC0L7CaptureVSgSi_SSSbtYaKF	ComputerUse.ComputerUseAppController.performSecondaryAction(elementID: Swift.Int, action: Swift.String, returnSkyshot: Swift.Bool) async throws -> ComputerUse.ComputerUseAppController.SkyshotCapture?
app-controller	D1	000000010007d710	T	$s11ComputerUse0aB13AppControllerC14CursorPositionV15coordinateArrayAESaySiGSg_tcfC	ComputerUse.ComputerUseAppController.CursorPosition.init(coordinateArray: [Swift.Int]?) -> ComputerUse.ComputerUseAppController.CursorPosition
app-controller	D1	0000000100080e9c	T	$s11ComputerUse0aB13AppControllerC14orderedWindowsSay20AccessibilitySupport23WindowUIElementProtocol_pGyKF	ComputerUse.ComputerUseAppController.orderedWindows() throws -> [AccessibilitySupport.WindowUIElementProtocol]
app-controller	D1	00000001000811d4	T	$s11ComputerUse0aB13AppControllerC14CursorPositionV8applying13scalingFactor33convertingToScreenFromWindowFrameSo7CGPointV12CoreGraphics7CGFloatV_So6CGRectVSgtF	ComputerUse.ComputerUseAppController.CursorPosition.applying(scalingFactor: CoreGraphics.CGFloat, convertingToScreenFromWindowFrame: __C.CGRect?) -> __C.CGPoint
app-controller	D1	0000000100099b18	T	$s11ComputerUse0aB11AppInstanceC17applicationTarget13appControllerAC14SystemSoftware011ApplicationF0V_AA0abcH0CtcfC	ComputerUse.ComputerUseAppInstance.__allocating_init(applicationTarget: SystemSoftware.ApplicationTarget, appController: ComputerUse.ComputerUseAppController) -> ComputerUse.ComputerUseAppInstance
app-controller	D1	0000000100099bb0	T	$s11ComputerUse0aB11AppInstanceC17applicationTarget13appControllerAC14SystemSoftware011ApplicationF0V_AA0abcH0Ctcfc	ComputerUse.ComputerUseAppInstance.init(applicationTarget: SystemSoftware.ApplicationTarget, appController: ComputerUse.ComputerUseAppController) -> ComputerUse.ComputerUseAppInstance
app-controller	D2	0010000000d18598	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController._isActive	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix "._isActive"
app-controller	D2	0010000000d185a0	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController._lastWindow	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix "._lastWindow"
app-controller	D2	0010000000d185b0	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController._currentlyOpenedMenu	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix "._currentlyOpenedMenu"
app-controller	D2	0010000000d185b8	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController._currentlyFocusedMenuBarItem	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix "._currentlyFocusedMenuBarItem"
app-controller	D2	0010000000d185c0	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.chatID	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".chatID"
app-controller	D2	0010000000fa6050	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.terminationObserver	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".terminationObserver"
app-controller	D2	0010000000fa6058	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.virtualCursor	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".virtualCursor"
app-controller	D2	0010000000fa6060	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.skyshotImageFiles	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".skyshotImageFiles"
app-controller	D2	0010000000fa6068	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.windowObserver	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".windowObserver"
app-controller	D2	0010000000fa6070	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController._windows	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix "._windows"
app-controller	D2	0010000000fa60c8	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.mcpRuntime	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".mcpRuntime"
app-controller	D2	00100000010c44e8	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.applicationTarget	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".applicationTarget"
app-controller	D2	00100000010c44f0	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.bundleIdentifier	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".bundleIdentifier"
app-controller	D2	00100000010c44f8	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.app	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".app"
app-controller	D2	00100000010c4500	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.runningApplication	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".runningApplication"
app-controller	D2	00100000010c4508	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.pid	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".pid"
app-controller	D2	00100000010c4510	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.focusEnforcer	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".focusEnforcer"
app-controller	D2	00100000010c4518	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.visibleRect	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".visibleRect"
app-controller	D2	00100000010c4520	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.scalingFactor	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".scalingFactor"
app-controller	D2	00100000010c4528	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.scaledScreenSize	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".scaledScreenSize"
app-controller	D2	00100000010c4530	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.cursorPositionInScaledCoordinates	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".cursorPositionInScaledCoordinates"
app-controller	D2	00100000010c4538	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.isAXTreeDiffingEnabled	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".isAXTreeDiffingEnabled"
app-controller	D2	00100000010c4540	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.lastAXTree	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".lastAXTree"
app-controller	D2	00100000010c4548	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.orderingObserver	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".orderingObserver"
app-controller	D2	00100000010c4550	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.signposter	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".signposter"
app-controller	D2	00100000010c4558	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseAppController.axEnablementAssertion	OBJC_IVAR_$_ComputerUse.ComputerUseAppController with unmangled suffix ".axEnablementAssertion"
app-policy	D2	0000000100fa6e48	d	OBJC_METACLASS_$__TtC11ComputerUse39CodexAppServerComputerUsePolicyProvider	OBJC_METACLASS_$_ComputerUse.CodexAppServerComputerUsePolicyProvider
